# 六感菜单繁体手工校准词条 —— 按 SKU3惠而浦烤箱6th菜单菜谱-中英文-2026.xlsx 繁体块逐字
# 重放: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tw_table.c 之前先备份
# 实际用法: perl tw_work/apply_six_desc_overrides.pl tw_work/six_desc_tw_overrides.tsv ui_builder/custom/i18n_tw_table.c
# 格式: zh<TAB>tw ; C 源里的 \n 写作 ⏎ ; # 开头为注释
# ==== 一、行片段(头部/层数/器皿, 与描述页共享的独立键) ====
烹饪说明：	烹調指引：
烹饪说明：⏎根据你喜欢的食谱准备酥皮和冰奶油。将酥皮放在烤盘上，撒上糖粉。烹饪结束时，将面皮切成3个大小相等的矩形。在最下面一层涂上冷冻的奶油，在顶部涂上第二层，再涂上一层奶油。小心地盖上涂了奶油的顶层，然后在食用前冷却⏎现在将食物放在第3层⏎使用烤盘	烹調指引：⏎按個人喜好的食譜準備酥皮和冷藏忌廉。將酥皮放上焗盤並灑上糖霜。烹調完成後，將酥皮切成3份大小相同的長方形。在底層擠入冷藏吉士忌廉，蓋上第二層，再擠入一層忌廉。小心地蓋上頂層，冷藏後即可享用。⏎將食物放入第 3 層。⏎使用焗盤。
烹饪说明：⏎根据你喜欢的食谱准备面团，放在烤盘上。烹饪结束后，让它冷却下来，然后撒上糖粉⏎现在将食物放在第3层⏎使用烤盘	烹調指引：⏎按個人喜好的食譜準備麵團，並放置於焗盤上。烹調完成後先放涼，再灑上糖霜。⏎將食物放入第 3 層。⏎使用焗盤。
烹饪说明：⏎根据你喜欢的食谱准备面糊。将面糊均匀分布在烤盘的纸杯里，每个纸杯里填满2/3左右。烹饪结束后，转移到网架上完全冷却，然后再涂上糖霜⏎现在将食物放在第3层⏎使用烤盘	烹調指引：⏎按個人喜好的食譜準備麵糊。將麵糊均勻倒入焗盤的紙杯內，每個紙杯注入約 2/3 滿。烹調完成後，移至網架上完全放涼，再加上糖霜裝飾。⏎將食物放入第 3 層。⏎使用焗盤。
烹饪说明：⏎根据你最喜欢的食谱准备和冷却面糊。将冷面糊直接倒入抹了油的玛德琳烤盘的中心。烹饪结束后，立即将盘倒在网架冷却架上，把玛德琳蛋糕放出来。放凉后再撒上糖粉，新鲜食用⏎现在将食物放在第3层⏎使用网架和蛋糕模具盘	烹調指引：⏎按個人喜好的食譜準備麵糊並冷藏。將冷麵糊直接倒入已抹油的瑪德蓮焗盤各個貝殼模中央。烹調完成後，立即將焗盤倒扣在網架上以取出瑪德蓮。先放涼，再灑上糖霜即可享用。⏎將食物放入第 3 層。⏎使用網架及焗盤。
烹饪说明：⏎根据你最喜欢的食谱准备面团。团出1.5汤匙大小的面团，放在烤盘上，每块饼干之间留出2.5厘米的空间⏎现在将食物放在第3层⏎使用烤盘	烹調指引：⏎按個人喜好的食譜準備麵團。舀出約1.5湯匙大小的麵團球並放上焗盤，每塊曲奇之間需留有約 2.5 厘米的間距。⏎將食物放入第 3 層。⏎使用焗盤。
烹饪说明：⏎根据你最喜欢的食谱准备面团和蛋奶冻。把面团分成相等的球。将每个部分压入模具中，从下向上形成一个边缘。将蛋奶液倒入酥皮中，填充80%左右。烹饪结束后，让它冷却后再食用⏎现在将食物放在第3层⏎使用烤盘	烹調指引：⏎按個人喜好的食譜準備麵團和蛋漿。將麵團分成等份小球。將每份壓入模具中，由底部往上推貼，以形成撻邊。將蛋漿倒入每個撻皮內，倒至約八成滿。烹調完成後先放涼即可享用。⏎將食物放入第 3 層。⏎使用焗盤。
烹饪说明：⏎根据你最喜欢的食谱准备面团。将2英寸的面团放到烤盘上。用潮湿的手指轻轻地按下尖的地方。在烹饪结束时，将泡芙转移到网架上，刺破每个泡芙的侧面或底部，释放困住的蒸汽。待其完全冷却后，将泡芙顶部的三分之一的位置切掉，倒入奶油，替换顶部⏎现在将食物放在第3层⏎使用烤盘	烹調指引：⏎按個人喜好的食譜準備麵糊。在焗盤上擠出約2吋大小的圓形。用微濕的手指輕輕壓平表面尖角。烹調完成後，將外殼移至網架上，並在每個的側面或底部戳孔以釋放內部蒸氣。完全放涼後，切開泡芙頂部約三分之一處，擠入忌廉，最後蓋回頂部。⏎將食物放入第 3 層。⏎使用焗盤。
烹饪说明：⏎根据你最喜欢的食谱准备面团，放在烤盘上⏎现在将食物放在第3层⏎使用烤盘	烹調指引：⏎按個人喜好的食譜準備麵團，並放上焗盤。⏎將食物放入第 3 層。⏎使用焗盤。
烹饪说明：⏎根据你最喜欢的食谱准备面团，放在烤盘上⏎现在将食物放在第3层⏎使用网架和盘	烹調指引：⏎按個人喜好的食譜準備麵團，並放上焗盤。⏎將食物放入第 3 層。⏎使用網架及焗盤。
烹饪说明：⏎根据你喜欢的食谱准备面糊。在烤盘上把松饼杯均匀地分成几份，把每个松饼杯都填满⏎现在将食物放在第3层⏎使用烤盘	烹調指引：⏎按個人喜好的食譜準備麵糊。將麵糊均勻倒入焗盤上的鬆餅紙杯內，並倒至全滿。⏎將食物放入第 3 層。⏎使用焗盤。
烹饪说明：⏎根据你的喜好加盐和胡椒调味。把鸡翅裹上蛋液，然后裹上面包屑。均匀分布在气炸盘中，轻轻喷上食用油⏎现在将食物放在第3层⏎使用气炸盘和深盘	烹調指引：⏎按個人喜好用鹽和胡椒調味。將雞翼沾上蛋液，然後裹上麵包糠。平鋪在氣炸盤上，並輕輕噴上煮食油。⏎將食物放入第 3 層。⏎使用氣炸盤和深焗盤。
烹饪说明：⏎根据你的喜好加盐和胡椒调味。把鸡腿裹上蛋液，然后裹上面包屑。均匀分布在气炸盘中，轻轻喷上食用油⏎现在将食物放在第3层⏎使用气炸盘和深盘	烹調指引：⏎按個人喜好用鹽和胡椒調味。將雞髀沾上蛋液，然後裹上麵包糠。平舖在氣炸盤上，並輕輕噴上煮食油。⏎將食物放入第 3 層。⏎使用氣炸盤和深焗盤。
从包装中取出，摆在烤盘上⏎现在将食物放在第3层⏎使用烤盘	從包裝中取出，平鋪在焗盤上。⏎將食物放入第 3 層。⏎使用焗盤。
刷油，根据个人喜好，撒上盐、烧烤料。在烤盘内均匀铺开⏎现在将食物放在第3层⏎使用烤盘	掃上油。按個人喜好灑上鹽和燒烤調味料。平舖在焗盤上。⏎將食物放入第 3 層。⏎使用焗盤。
刷上油。根据喜好用蒜蓉酱、盐和油调味⏎现在将食物放在第3层⏎使用烤盘	刷上油。按個人喜好加入蒜蓉醬、鹽和油調味。⏎將食物放入第 3 層。⏎使用焗盤。
参照您喜欢的食谱进行准备。调味拌入黑椒碎、盐、橄榄油和自己喜欢的酱料等⏎现在将食物放在第3层⏎使用烤盘	掃上油並灑上鹽和胡椒。按個人喜好用黑胡椒、油和醬汁調味。⏎將食物放入第 3 層。⏎使用焗盤。
把土豆切成片，在烤盘里叠放成排。把奶油均匀地倒在上面，撒上奶酪。重复做两层，最后在上面涂上一层奶油和奶酪，以达到完美的褐色⏎现在将食物放在第2层⏎使用网架和器皿	將薯仔切片，在焗盤中層層交疊排列。將忌廉均勻倒在表面，並灑上芝士。重複此步驟多做兩層，最後在表面倒入忌廉和灑滿芝士，以焗至金黃色。⏎將食物放入第 2 層。⏎使用烤網和焗盤。
参照您喜欢的食谱进行准备。顶部浇上白浆和奶酪碎，以便完美的上色效果⏎现在将食物放在第2层⏎使用网架和器皿	按個人喜愛的食譜準備。在表面淋上白汁並灑上芝士，以焗至金黃香脆。⏎將食物放入第 2 層。⏎使用烤網和焗盤。
均匀分布在气炸盘中⏎现在将食物放在第3层⏎使用气炸盘和深盘	平鋪在氣炸盤上。⏎將食物放入第 3 層。⏎使用氣炸盤和深焗盤。
去掉玉米的皮和须。刷上油，撒上盐。根据你的喜好调味。均匀分布在烤盘上⏎现在将食物放在第3层⏎使用烤盘	去除粟米葉和粟米鬚。掃上油並灑上鹽。按個人喜好調味。平鋪在焗盤上。⏎將食物放入第 3 層。⏎使用焗盤。
用叉子刺红薯6到8次。在放入烤箱之前，将表皮抹上油并撒上盐⏎现在将食物放在第3层⏎使用烤盘	用叉在番薯表面戳 6 至 8 下。放入焗爐前，在外皮掃上油並灑上鹽。⏎將食物放入第 3 層。⏎使用焗盤。
用叉子在土豆上扎6到8次。在放入烤箱之前，用油刷皮，并在皮上撒上粗盐⏎现在将食物放在第3层⏎使用烤盘	用叉在薯仔表面戳 6 至 8 下。放入焗爐前，在外皮掃上油並裹上粗鹽。⏎將食物放入第 3 層。⏎使用焗盤。
